gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
male,0,yes,yes,56,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,two_year,yes,electronic_check,103.2,5873.75,no
male,0,no,no,61,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,month-to-month,yes,electronic_check,106.45,6300.15,no
female,0,no,no,41,yes,no,dsl,no,no,no,yes,no,no,one_year,no,bank_transfer_(automatic),50.05,2029.05,no
female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),44.9,44.9,yes
female,0,no,no,3,yes,no,dsl,yes,yes,no,yes,no,yes,two_year,no,mailed_check,71.1,213.35,no
male,1,yes,no,3,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,94.6,279.55,yes
male,0,yes,yes,12,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),21.05,262.05,no
female,0,no,no,41,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,no,bank_transfer_(automatic),98.05,3990.6,no
female,1,no,no,47,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),85.2,3969.35,yes
female,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.3,41.2,no
female,1,yes,no,66,yes,yes,dsl,no,yes,yes,no,yes,no,one_year,yes,bank_transfer_(automatic),70.85,4738.85,no
male,0,no,no,8,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic_check,59.25,436.6,no
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,19.9,19.9,no
female,0,yes,yes,35,no,no_phone_service,dsl,no,no,no,yes,yes,no,one_year,no,mailed_check,40.9,1383.6,no
female,1,yes,no,67,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,one_year,yes,credit_card_(automatic),107.05,7142.5,no
male,0,no,yes,1,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,31.35,31.35,yes
female,0,yes,no,46,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,103.15,4594.65,no
female,0,no,no,37,yes,no,fiber_optic,no,yes,yes,no,no,no,one_year,no,electronic_check,80.05,3019.1,no
male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),90.6,6441.85,no
male,0,no,no,35,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),75.35,2636.05,yes
female,0,yes,no,43,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,electronic_check,94.1,4107.3,no
female,0,yes,yes,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.35,442.6,no
male,0,yes,yes,64,yes,no,fiber_optic,yes,yes,no,no,no,no,month-to-month,no,electronic_check,81.05,5135.35,no
female,1,no,no,6,no,no_phone_service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,44.4,263.05,no
male,0,no,yes,9,yes,no,dsl,no,no,no,no,yes,no,month-to-month,no,electronic_check,55.35,449.75,yes
male,0,yes,yes,18,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),25.55,467.85,no
female,0,no,no,46,yes,yes,fiber_optic,no,yes,yes,no,no,yes,one_year,yes,electronic_check,94.15,4408.45,no
male,0,yes,no,9,yes,no,dsl,no,no,yes,no,yes,yes,month-to-month,yes,mailed_check,70.05,564.4,no
female,0,yes,yes,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),20.15,1337.5,no
male,0,yes,yes,32,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),19.45,674.55,no
female,0,yes,yes,67,yes,yes,dsl,yes,no,no,no,yes,yes,two_year,yes,electronic_check,75.5,5229.45,no
male,0,yes,yes,69,yes,no,dsl,yes,yes,no,yes,yes,yes,two_year,no,bank_transfer_(automatic),80.65,5542.55,no
male,0,no,no,6,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),80.5,463.05,yes
female,0,no,no,30,no,no_phone_service,dsl,no,no,no,yes,no,yes,one_year,yes,credit_card_(automatic),40.35,1187.05,no
male,0,yes,yes,30,yes,yes,dsl,yes,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),54.45,1588.7,no
female,0,yes,no,58,no,no_phone_service,dsl,yes,yes,no,no,yes,no,one_year,yes,electronic_check,45.35,2540.1,no
female,0,no,no,18,yes,yes,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,electronic_check,90.1,1612.75,yes
male,1,yes,no,34,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),71.55,2427.35,no
male,0,yes,yes,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.2,34.75,no
female,0,yes,yes,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.15,220.8,no
female,0,yes,yes,71,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,credit_card_(automatic),99.0,7061.65,no
male,0,yes,yes,72,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),60.95,4549.05,no
female,0,no,no,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,electronic_check,21.1,937.1,no
male,0,no,no,49,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),74.6,3720.35,no
female,0,no,no,65,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,no,credit_card_(automatic),59.95,3921.1,no
male,0,yes,yes,15,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),74.9,1107.25,yes
male,0,no,no,58,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),103.25,6017.65,yes
male,0,no,no,66,yes,no,dsl,yes,yes,no,no,no,no,one_year,yes,mailed_check,54.8,3465.7,no
male,0,no,no,66,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),19.7,1253.8,no
male,1,yes,yes,68,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),19.5,1193.55,no
female,1,no,no,45,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),102.15,4735.35,no
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.2,20.2,yes
male,0,no,no,11,yes,no,fiber_optic,yes,no,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),79.5,795.65,no
female,1,yes,no,18,yes,yes,fiber_optic,no,no,no,yes,yes,yes,month-to-month,no,bank_transfer_(automatic),99.75,1836.25,yes
male,0,yes,yes,71,yes,yes,fiber_optic,yes,no,no,no,yes,yes,two_year,yes,electronic_check,97.2,6910.3,no
male,0,no,yes,4,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,no,credit_card_(automatic),80.8,332.45,yes
female,0,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,electronic_check,56.0,764.55,no
female,0,no,yes,50,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.15,970.85,no
male,0,no,no,12,no,no_phone_service,dsl,yes,yes,no,yes,yes,no,month-to-month,yes,bank_transfer_(automatic),50.95,605.75,no
male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),43.85,43.85,no
female,0,no,no,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.9,173.15,no
male,1,no,no,71,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,no,bank_transfer_(automatic),105.75,7382.85,no
male,0,yes,no,1,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,80.55,80.55,yes
male,1,no,no,21,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,104.35,2271.85,no
female,0,no,no,12,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,86.55,1066.9,no
male,0,no,no,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic_check,50.5,50.5,yes
female,0,yes,no,33,yes,yes,fiber_optic,no,no,yes,yes,no,yes,month-to-month,yes,credit_card_(automatic),95.0,3008.15,no
male,0,no,no,46,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),72.8,3249.4,no
female,0,yes,no,44,yes,no,dsl,yes,yes,yes,no,no,no,one_year,yes,mailed_check,61.5,2722.2,no
male,1,yes,no,70,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),88.55,6306.5,no
male,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,one_year,yes,electronic_check,49.75,331.3,yes
female,0,no,no,18,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.8,1221.65,no
male,1,no,no,54,yes,no,dsl,no,no,yes,yes,no,yes,one_year,no,bank_transfer_(automatic),65.25,3529.95,no
female,0,no,no,35,no,no_phone_service,dsl,no,no,yes,yes,no,no,month-to-month,yes,mailed_check,33.45,1175.85,no
male,1,no,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,mailed_check,70.25,331.9,yes
female,0,no,no,35,yes,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,86.45,3029.1,yes
male,0,yes,yes,39,no,no_phone_service,dsl,no,no,no,no,no,no,one_year,yes,credit_card_(automatic),25.25,947.75,no
female,0,no,yes,19,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed_check,48.8,953.65,no
male,0,no,no,21,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed_check,36.0,780.15,no
male,0,yes,yes,43,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),104.3,4451.85,no
male,1,no,no,19,yes,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),95.9,1777.9,yes
male,0,yes,yes,72,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),112.6,8126.65,no
female,0,yes,no,59,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,no,electronic_check,101.1,6039.9,yes
male,0,yes,yes,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.65,225.75,no
female,0,no,no,9,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,yes,bank_transfer_(automatic),59.5,530.05,no
female,0,yes,yes,70,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),20.15,1411.2,no
female,0,yes,yes,22,no,no_phone_service,dsl,no,yes,no,no,yes,no,month-to-month,no,electronic_check,39.2,849.9,no
male,0,no,no,69,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,19.1,1268.85,no
female,1,no,no,16,yes,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic_check,94.45,1511.2,yes
female,0,no,no,32,no,no_phone_service,dsl,yes,no,no,no,no,no,one_year,no,mailed_check,30.15,927.65,no
female,0,yes,no,61,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.25,1278.8,no
female,0,no,no,14,yes,no,fiber_optic,no,yes,no,yes,no,no,month-to-month,yes,credit_card_(automatic),80.05,1112.3,no
male,1,yes,no,34,yes,no,fiber_optic,no,no,yes,no,yes,no,month-to-month,yes,credit_card_(automatic),85.2,2874.45,no
female,0,no,no,40,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.65,830.25,no
female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,45.4,45.4,no
female,0,yes,yes,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.1,100.35,no
female,0,no,no,39,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,50.75,2011.4,yes
male,0,yes,yes,56,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),24.15,1402.25,no
male,0,yes,yes,36,yes,no,dsl,yes,no,yes,no,no,yes,one_year,yes,credit_card_(automatic),63.7,2188.5,no
male,0,no,no,44,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,one_year,yes,mailed_check,53.95,2375.4,yes
male,0,yes,yes,7,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),69.95,529.5,yes
female,0,no,no,2,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.9,143.35,yes
male,1,yes,no,72,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,yes,bank_transfer_(automatic),109.55,7920.7,no
male,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.2,19.2,no
male,1,yes,yes,71,yes,yes,fiber_optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),105.1,7548.1,yes
female,0,yes,no,17,yes,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,no,electronic_check,78.9,1348.95,no
female,0,no,no,26,yes,no,dsl,no,yes,yes,no,no,no,one_year,yes,mailed_check,56.05,1553.2,no
female,0,no,no,29,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),76.0,2215.25,no
female,0,yes,yes,72,yes,no,dsl,yes,yes,yes,no,no,yes,two_year,no,credit_card_(automatic),68.75,4888.2,no
male,0,no,no,24,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),99.65,2404.85,no
female,0,yes,yes,11,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,25.0,300.7,no
male,0,yes,yes,51,yes,no,dsl,yes,no,no,yes,yes,yes,one_year,yes,bank_transfer_(automatic),76.4,3966.3,no
male,0,yes,no,4,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed_check,50.05,179.35,yes
male,0,yes,no,43,yes,no,fiber_optic,yes,yes,yes,no,no,no,month-to-month,yes,credit_card_(automatic),86.1,3551.65,no
female,1,yes,no,16,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,credit_card_(automatic),85.35,1375.15,yes
female,0,no,no,10,yes,no,dsl,no,no,no,yes,no,yes,month-to-month,yes,mailed_check,60.95,629.55,no
female,0,yes,yes,64,yes,yes,fiber_optic,yes,no,no,yes,yes,yes,one_year,yes,bank_transfer_(automatic),104.4,6721.6,no
male,0,no,no,12,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed_check,56.65,654.85,yes
female,0,yes,no,18,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,no,electronic_check,74.8,1438.05,no
male,0,no,no,65,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),110.0,7138.65,no
female,0,no,no,29,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,no,bank_transfer_(automatic),100.55,2878.75,no
female,0,no,no,44,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),84.8,3862.55,yes
female,0,no,no,7,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),70.75,450.8,yes
female,0,yes,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,45.0,45.0,no
male,1,no,no,31,yes,yes,fiber_optic,no,no,yes,yes,yes,no,month-to-month,yes,bank_transfer_(automatic),96.6,2877.95,no
male,0,no,no,9,no,no_phone_service,dsl,yes,no,yes,yes,no,yes,one_year,no,mailed_check,50.8,463.6,no
male,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,71.65,71.65,yes
female,0,no,no,60,no,no_phone_service,dsl,yes,no,yes,no,yes,yes,two_year,no,electronic_check,53.6,3237.05,no
male,0,no,no,13,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,19.95,257.0,no
male,0,no,no,3,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,100.95,329.95,yes
female,0,yes,yes,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),19.8,196.75,no
male,0,yes,yes,50,no,no_phone_service,dsl,yes,no,no,no,yes,no,month-to-month,yes,credit_card_(automatic),39.45,2021.35,no
female,0,no,no,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.25,174.65,no
male,1,yes,no,41,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,53.95,2215.4,no
female,0,yes,yes,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,no,electronic_check,85.95,858.6,no
male,0,no,no,31,yes,yes,fiber_optic,no,no,no,yes,no,no,one_year,no,credit_card_(automatic),81.7,2548.65,no
male,0,yes,yes,40,yes,yes,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,74.55,3015.75,no
male,0,no,no,17,yes,yes,fiber_optic,no,no,yes,yes,no,yes,month-to-month,yes,bank_transfer_(automatic),95.65,1640.0,no
male,0,yes,yes,11,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.45,250.8,no
male,0,no,yes,19,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.0,377.55,no
female,0,no,no,31,yes,yes,fiber_optic,yes,no,yes,no,no,no,month-to-month,yes,credit_card_(automatic),84.75,2613.4,no
female,0,no,no,10,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),81.0,818.05,yes
female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),69.7,69.7,yes
male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,80.8,80.8,yes
male,0,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.6,116.6,no
male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,69.95,69.95,yes
male,0,no,yes,41,yes,no,dsl,yes,yes,yes,no,yes,no,one_year,no,mailed_check,70.2,2894.55,no
male,0,yes,yes,66,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.0,1374.2,no
male,0,no,no,26,yes,yes,fiber_optic,yes,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),86.65,2208.75,no
male,0,yes,yes,34,no,no_phone_service,dsl,yes,no,no,no,no,no,one_year,no,bank_transfer_(automatic),30.4,938.65,no
female,0,yes,yes,60,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),115.25,6758.45,no
female,0,yes,no,37,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,99.5,3762.0,yes
male,0,no,no,18,yes,yes,fiber_optic,no,no,yes,no,yes,no,one_year,yes,credit_card_(automatic),89.6,1633.0,no
male,0,no,no,62,yes,no,dsl,yes,yes,no,no,yes,yes,one_year,yes,credit_card_(automatic),74.3,4698.05,no
female,0,no,no,47,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.55,945.7,no
male,0,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.65,150.0,no
male,0,yes,no,10,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.25,855.3,yes
female,0,no,no,5,yes,no,fiber_optic,no,yes,no,yes,no,yes,month-to-month,yes,electronic_check,89.35,461.7,yes
female,0,yes,no,19,yes,no,dsl,no,yes,no,no,no,yes,month-to-month,yes,mailed_check,59.8,1130.85,no
female,0,yes,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.35,393.15,no
male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),92.3,6719.9,no
female,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,mailed_check,95.65,95.65,yes
female,0,no,no,66,yes,yes,fiber_optic,no,no,yes,no,yes,no,one_year,yes,bank_transfer_(automatic),92.15,6056.9,no
female,0,yes,no,24,yes,yes,dsl,yes,yes,yes,no,no,no,month-to-month,no,mailed_check,66.3,1559.45,no
male,0,yes,no,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),20.95,495.15,no
male,0,no,no,43,yes,no,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,75.2,3198.6,yes
male,0,no,no,58,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,no,bank_transfer_(automatic),80.65,4807.35,no
female,0,no,no,20,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,credit_card_(automatic),18.9,347.65,no
male,0,no,no,27,yes,no,dsl,yes,no,yes,yes,yes,yes,one_year,no,electronic_check,81.7,2212.55,no
female,0,no,no,8,yes,yes,fiber_optic,yes,no,no,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),103.35,847.3,yes
male,0,yes,yes,60,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,credit_card_(automatic),79.05,4663.4,no
female,0,no,yes,11,no,no_phone_service,dsl,yes,no,no,yes,no,no,one_year,yes,mailed_check,36.05,402.6,no
male,0,no,no,10,no,no_phone_service,dsl,no,yes,no,yes,no,no,month-to-month,no,electronic_check,35.75,389.8,no
male,1,yes,no,69,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),108.4,7318.2,yes
female,0,yes,yes,42,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,electronic_check,22.95,1014.25,no
female,1,yes,no,34,yes,no,dsl,no,no,yes,yes,yes,no,one_year,no,bank_transfer_(automatic),64.2,2106.3,no
male,0,yes,yes,27,no,no_phone_service,dsl,no,yes,yes,no,no,yes,one_year,yes,credit_card_(automatic),45.85,1246.4,no
female,0,no,no,20,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),24.9,505.95,no
male,0,yes,yes,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),25.2,1798.9,no
male,0,yes,no,3,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,yes,bank_transfer_(automatic),79.65,251.75,yes
male,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,no,electronic_check,80.5,80.5,yes
female,1,no,no,64,yes,no,dsl,yes,yes,no,yes,yes,no,two_year,yes,credit_card_(automatic),70.2,4481.0,yes
